Composer,Lyricist,Singer,Title,image
Gunadasa Kapuge,Rathna Sri Wijesinghe,Gunadasa Kapuge,Bimbarak Senaga,https://www.lklyrics.com/img/songs/gunadasa_kapuge/bimbarak_senaga.png
,,Gunadasa Kapuge,Ira Batu Tharuwa,https://www.lklyrics.com/img/songs/gunadasa_kapuge/ira_batu_tharuwa.png
Nimal Mendis,,Gunadasa Kapuge,Bindu Bindu Tharaka,https://www.lklyrics.com/img/songs/gunadasa_kapuge/bindu_bindu_tharaka.png
,Ranbanda Senavirathne,Gunadasa Kapuge,Dawasak Pela Nethi Hene,https://www.lklyrics.com/img/songs/gunadasa_kapuge/dawasak_pela_nethi_hene.png
,Sunil R Gamage,Gunadasa Kapuge,Gangawe Geethe,https://www.lklyrics.com/img/songs/gunadasa_kapuge/gangawe_geethe.png
,,Gunadasa Kapuge,Domba Mal Kalawe,https://www.lklyrics.com/img/songs/gunadasa_kapuge/domba_mal_kalawe.png
,,Gunadasa Kapuge,Bindunu Pem Hada,https://www.lklyrics.com/img/songs/gunadasa_kapuge/bindunu_pem_hada.png
,,Gunadasa Kapuge,Daasa Nilupul Thema,https://www.lklyrics.com/img/songs/gunadasa_kapuge/daasa_nilupul_thema.png
,,Gunadasa Kapuge,Mage Hada Madala,https://www.lklyrics.com/img/songs/gunadasa_kapuge/mage_hada_madala.png
,,Gunadasa Kapuge,Man Mulaavee,https://www.lklyrics.com/img/songs/gunadasa_kapuge/man_mulaavee.png
,,Gunadasa Kapuge,Dethola Nokee Dey Muhune Liyawenawa,https://www.lklyrics.com/img/songs/gunadasa_kapuge/dethola_nokee_dey_muhune_liyawenawa.png
Gunadasa Kapuge,Rathna Sri Wijesinghe,Gunadasa Kapuge,Kalladi Palama,https://www.lklyrics.com/img/songs/gunadasa_kapuge/kalladi_palama.png
Gunadasa Kapuge,Rathna Sri Wijesinghe,Gunadasa Kapuge,Leli Thalana Nube Athata,https://www.lklyrics.com/img/songs/gunadasa_kapuge/leli_thalana_nube_athata.png
Gunadasa Kapuge,Ranbanda Senavirathne,Gunadasa Kapuge,Mariyawe,https://www.lklyrics.com/img/songs/gunadasa_kapuge/mariyawe.png
,,Gunadasa Kapuge,Na Kola Andam,https://www.lklyrics.com/img/songs/gunadasa_kapuge/na_kola_andam.png
,,Gunadasa Kapuge,Naabara Goyamata,https://www.lklyrics.com/img/songs/gunadasa_kapuge/naabara_goyamata.png
,,Gunadasa Kapuge,Obata Yanna Onaa Nam,https://www.lklyrics.com/img/songs/gunadasa_kapuge/obata_yanna_onaa_nam.png
,,Gunadasa Kapuge,Piya Satahan Makii Nomatha Thawa,https://www.lklyrics.com/img/songs/gunadasa_kapuge/piya_satahan_makii_nomatha_thawa.png
,,Gunadasa Kapuge,Oba Pem Karana,https://www.lklyrics.com/img/songs/gunadasa_kapuge/oba_pem_karana.png
Gunadasa Kapuge,Rathna Sri Wijesinghe,"Karunarathna Divulgane,Gunadasa Kapuge",Palanchiye Weda Indagena,https://www.lklyrics.com/img/songs/gunadasa_kapuge/palanchiye_weda_indagena.png
,,Gunadasa Kapuge,Pasak Kota Athy,https://www.lklyrics.com/img/songs/gunadasa_kapuge/pasak_kota_athy.png
,,"Karunarathna Divulgane,Gunadasa Kapuge",Ruwak Adenawa,https://www.lklyrics.com/img/songs/karunarathna_divulgane/ruwak_adenawa.png
Gunadasa Kapuge,Rathna Sri Wijesinghe,Gunadasa Kapuge,Seda Sihina Sudu,https://www.lklyrics.com/img/songs/gunadasa_kapuge/seda_sihina_sudu.png
,,Gunadasa Kapuge,Sabanda Api Kandu Nowemu,https://www.lklyrics.com/img/songs/gunadasa_kapuge/sabanda_api_kandu_nowemu.png
,,Gunadasa Kapuge,Senehe Sithin,https://www.lklyrics.com/img/songs/gunadasa_kapuge/senehe_sithin.png
,Rathna Sri Wijesinghe,Gunadasa Kapuge,Sinhala Sindu Kiyana,https://www.lklyrics.com/img/songs/gunadasa_kapuge/sinhala_sindu_kiyana.png
,,Gunadasa Kapuge,Sonduru Numba Lihiniyaka,https://www.lklyrics.com/img/songs/gunadasa_kapuge/sonduru_numba_lihiniyaka.png
,,Gunadasa Kapuge,Sudu Nanda Ai,https://www.lklyrics.com/img/songs/gunadasa_kapuge/sudu_nanda_ai.png
,,Gunadasa Kapuge,Unmaada Sithuwam,https://www.lklyrics.com/img/songs/gunadasa_kapuge/unmaada_sithuwam.png
,,Gunadasa Kapuge,Tharu Rana Ridi Pata Pata,https://www.lklyrics.com/img/songs/gunadasa_kapuge/tharu_rana_ridi_pata_pata.png
,,Gunadasa Kapuge,Viduli Mini Pahan,https://www.lklyrics.com/img/songs/gunadasa_kapuge/viduli_mini_pahan.png
